GenomeID	num_contigs	total_length	gc	rep_type(s)	rep_type_accession(s)	relaxase_type(s)	relaxase_type_accession(s)	mpf_type	mpf_type_accession(s)	orit_type(s)	orit_accession(s)	PredictedMobility	mash_nearest_neighbor	mash_neighbor_distance	mash_neighbor_cluster	GenomeID	clust_90	clust_91	clust_92	clust_93	clust_94	clust_95	clust_96	clust_97	clust_98	clust_99	clust_100
AF306799	1	6094	33.42632097	rep_cluster_414	001739__AF306799	-	-	-	-	MOBP	NC_005312	Mobilizable	AF306799	0	2229	AF306799	1364	1467	1574	1732	1953	2301	2726	3337	4134	5327	12568
AF312688	1	22688	65.47954866	-	-	-	-	-	-	-	-	Non-mobilizable	AF312688	0	3084	AF312688	2570	2711	2867	3080	3345	3693	4118	4729	5526	6722	13970
AF449498	1	21019	48.51800752	-	-	-	-	-	-	-	-	Non-mobilizable	AF449498	0	751	AF449498	1364	1467	1574	1732	1922	2182	2502	2965	3549	4412	9533
AF459640	1	2134	38.42549203	rep_cluster_689	002154__CP003139_00001	-	-	-	-	-	-	Non-mobilizable	AF459640	0	3653	AF459640	1364	1467	1604	1814	2078	2426	2851	3462	4259	5452	12693
AF479774	1	11354	48.96071869	ColRNAI_rep_cluster_1987	CP041116_00002	-	-	-	-	-	-	Non-mobilizable	AF479774	0	1114	AF479774	1364	1467	1574	1732	1922	2182	2502	2965	3549	4412	11109
AF511037	1	3176	32.87153652	rep_cluster_1197	AF511037	-	-	-	-	-	-	Non-mobilizable	AF511037	0	3183	AF511037	1364	1461	1555	1686	1830	2001	2187	2416	2677	3004	4441
AJ224743	1	1921	40.60385216	-	-	-	-	-	-	-	-	Non-mobilizable	AJ224743	0	7487	AJ224743	827	854	890	946	1014	1090	1177	1261	1392	1560	2211
AJ271879	1	10687	57.03190793	IncQ1	000191__AB109805_00009	MOBQ	NC_005312_00007	-	-	MOBQ	KP398867	Mobilizable	AJ271879	0	188	AJ271879	1364	1467	1574	1732	1922	2182	2502	2965	3549	4412	7610
AJ297913	1	45319	58.9024471	rep_cluster_236	001511__KJ850907_00001	MOBP	NC_010332_00013	MPF_T	NC_010332_00022,NC_010332_00023,NC_010332_00025,NC_010332_00028	-	-	Conjugative	AJ297913	0	193	AJ297913	1364	1457	1550	1678	1817	1984	2168	2395	2650	2971	4393
AJ304453	1	55578	59.84742164	-	-	MOBP	AJ304453_00017	MPF_T	NC_010332_00028	-	-	Conjugative	AJ304453	0	195	AJ304453	1211	1275	1347	1449	1562	1698	1853	2054	2281	2581	3827
AJ311718	1	4379	49.73738296	-	-	-	-	-	-	-	-	Non-mobilizable	AJ311718	0	8035	AJ311718	1364	1467	1574	1732	1922	2182	2502	2965	3549	4412	7310
AJ431260	1	79370	62.75544916	IncP	000180__NC_006830_00001	MOBP	NC_007353_00011	MPF_T	NC_007353_00043,NC_006830_00008,NC_006830_00009,NC_019318_00040	MOBP	NC_017965	Conjugative	AJ431260	0	127	AJ431260	1364	1467	1574	1732	1922	2182	2502	2965	3549	4441	11682
AJ493278	1	9935	32.93407146	rep_cluster_589	001996__NC_004528_00009	MOBV	NC_004528_00008	-	-	-	-	Mobilizable	AJ493278	0	4439	AJ493278	1423	1562	1718	1928	2192	2540	2965	3576	4373	5567	12814
AJ576039	1	101016	66.00439534	-	-	MOBF	NC_005307_00072	-	-	-	-	Mobilizable	AJ576039	0	3956	AJ576039	404	419	435	456	487	515	543	575	624	699	993
AJ579365	1	17108	33.99579144	rep_cluster_282	FN377602	MOBV,MOBV	NC_005076_00012,AJ579365_00019	-	-	MOBV	NZ_CP009579	Mobilizable	AJ579365	0	608	AJ579365	1364	1467	1574	1732	1922	2182	2502	2965	3549	4138	6408
AJ639924	1	56167	63.80258871	IncP	000177__AB237782_00014	MOBP	NC_001735_00050	MPF_T	NC_019318_00059,NC_004956_00085,NC_008459_00022,NC_001735_00049	MOBP	NC_022371	Conjugative	AJ639924	0	133	AJ639924	1364	1467	1574	1732	1922	2182	2502	2965	3549	4475	11716
AJ744860	1	68869	62.34009496	IncP	000182__CP002151_00001	MOBP	NC_008357_00089	MPF_T	NC_019318_00059,NC_008357_00035,NC_008357_00088	MOB_unknown	NZ_HG941719	Conjugative	AJ744860	0	145	AJ744860	1364	1467	1574	1732	1922	2182	2502	2965	3549	4412	8564
AJ748844	1	3649	34.99588928	-	-	-	-	-	-	-	-	Non-mobilizable	AJ748844	0	7809	AJ748844	4320	4461	4617	4830	5095	5443	5868	6479	7276	8472	15720
AJ863570	1	57198	64.61939229	IncP	000177__AB237782_00014	MOBP	NC_001735_00050	MPF_T	NC_019318_00059,NC_004956_00085,NC_008459_00022,NC_001735_00049	MOBP	KU302802	Conjugative	AJ863570	0	131	AJ863570	1364	1467	1574	1732	1922	2182	2502	2965	3549	4412	7872
AJ871637	1	9698	32.39843267	-	-	MOBV	NC_006869_00001	-	-	-	-	Mobilizable	AJ871637	0	626	AJ871637	1337	1410	1500	1621	1751	1911	2084	2305	2545	2859	4207
AJ871638	1	14218	29.47671965	rep_cluster_1836	001262__CP009690	MOBV	NC_006870_00006	-	-	-	-	Mobilizable	AJ871638	0	2109	AJ871638	1274	1340	1418	1526	1644	1793	1964	2176	2409	2714	3997
AM039948	1	1852	56.587473	-	-	-	-	-	-	-	-	Non-mobilizable	AM039948	0	2147	AM039948	460	476	492	517	548	582	616	651	713	799	1128
AM039949	1	19146	59.76183015	-	-	MOBQ	NC_007505_00009	-	-	-	-	Mobilizable	AM039949	0	3167	AM039949	2317	2458	2614	2827	3092	3440	3865	4476	5273	6469	13717
AM039950	1	38116	60.7330255	-	-	MOBF	NC_017558_00016	MPF_T	NC_007506_00022,NC_005240_00012,NC_017558_00032,NC_005240_00010,NC_005240_00006	-	-	Conjugative	AM039950	0	5637	AM039950	506	524	545	574	609	648	685	723	799	897	1289
AM039951	1	182572	60.49284666	rep_cluster_461	001811__CP013007_00019	MOBP	NC_007507_00032	MPF_I	NC_007507_00008,NC_007507_00042,NC_007507_00056,NC_007507_00198,NC_007507_00199	-	-	Conjugative	AM039951	0	7319	AM039951	405	420	436	457	488	517	545	577	626	701	996
AM157767	1	69966	57.5007861	rep_cluster_717	002189__AM157767_00028	MOBP	AM157767_00077	MPF_T	NC_019318_00059,NC_019378_00044	-	-	Conjugative	AM157767	0	168	AM157767	1207	1270	1341	1443	1556	1692	1847	2046	2273	2573	3818
AM180253	1	27048	29.04835847	rep_cluster_1701	001111__NC_020128_00032	-	-	-	-	-	-	Non-mobilizable	AM180253	0	3329	AM180253	104	108	111	118	132	141	144	151	158	161	235
AM236081	1	151564	57.62186271	rep_cluster_512,rep_cluster_446,rep_cluster_592	001886__CP016288,001790__NC_007762_00218,002017__CP007238_00110	MOBQ	NC_008382_00075	MPF_T	NC_008382_00063,NC_008382_00140,NC_008382_00142,NC_008382_00143,NC_008382_00144	-	-	Conjugative	AM236081	0	5336	AM236081	3749	3890	4046	4259	4524	4872	5297	5908	6705	7901	15149
AM236082	1	147463	58.7449055	rep_cluster_577	001976__HG916853_00001	MOBQ	NC_008383_00124	MPF_T	NC_008383_00121,NC_010865_00164,NC_008383_00141	-	-	Conjugative	AM236082	0	7578	AM236082	399	414	428	449	478	506	534	565	613	688	978
AM236083	1	352782	60.99092357	rep_cluster_685	002150__AM236083_00122	-	-	-	-	-	-	Non-mobilizable	AM236083	0	2847	AM236083	783	808	841	885	937	992	1060	1133	1252	1411	2036
AM260523	1	3661	34.55340071	rep_cluster_137	000692__CP012906	-	-	-	-	-	-	Non-mobilizable	AM260523	0	2266	AM260523	789	814	847	894	950	1020	1101	1181	1306	1465	2097
AM260524	1	23343	35.02548944	rep_cluster_1829	001250__HG969193_00001	-	-	-	-	-	-	Non-mobilizable	AM260524	0	3743	AM260524	41	44	44	46	48	50	51	53	56	58	99
AM261282	1	54383	60.83886509	IncP	000175__JQ004408_00022	MOBP	NC_019318_00039	MPF_T	NC_019318_00059,NC_019318_00058,NC_019318_00057,NC_019318_00040	MOBP	NC_017965	Conjugative	AM261282	0	166	AM261282	1364	1467	1574	1732	1922	2182	2502	2965	3549	4412	9239
AM711865	1	27357	67.55857733	rep_cluster_204	001466__CP011044	MOBC	CP012574_00009	-	-	-	-	Mobilizable	AM711865	0	7642	AM711865	349	363	375	394	420	446	470	498	534	582	836
AM711866	1	69989	66.49616368	-	-	MOBF,MOBF	AM711866_00011,NC_009479_00012	MPF_T	NC_009479_00014	-	-	Conjugative	AM711866	0	7647	AM711866	355	370	382	402	429	455	479	507	545	593	850
AM747723	1	92661	62.76211135	rep_cluster_1467	000805__NC_008545_00092	MOBF	NC_011003_00065	MPF_F	NC_011003_00023,NC_011003_00024,NC_011003_00035,NC_011003_00036,NC_011003_00037,NC_011003_00047,NC_011003_00048,NC_011003_00052,NC_011003_00067	-	-	Conjugative	AM747723	0	5425	AM747723	225	233	240	252	273	295	313	330	351	370	549
AM849035	1	50350	67.46176763	rep_cluster_204	001467__CP012574	MOBC	CP012574_00009	-	-	-	-	Mobilizable	AM849035	0	7644	AM849035	349	364	376	395	422	448	472	500	536	584	838
AM849036	1	94791	68.84408857	-	-	-	-	-	-	-	-	Non-mobilizable	AM849036	0	8147	AM849036	2505	2646	2802	3015	3280	3628	4053	4664	5461	6657	13905
AM886060	1	62830	40.01750756	rep_cluster_349	001664__CP006255_00026	MOBQ	CP000558_00038	MPF_T	NC_010420_00058	-	-	Conjugative	AM886060	0	5388	AM886060	241	249	256	269	290	312	331	348	372	397	589
AM942760	1	36289	36.20656397	IncX8	000229__AM942760_00001	MOBP	NC_010555_00037	MPF_T	NC_010555_00009,NC_010555_00012,NC_010555_00014,NC_010555_00015	-	-	Conjugative	AM942760	0	5964	AM942760	1364	1467	1574	1732	1922	2182	2502	2965	3514	4046	6235
AM990993	1	5246	30.72817385	rep_cluster_1118	000379__NC_013452_00003	MOBV	NC_010262_00002	-	-	-	-	Mobilizable	AM990993	0	2219	AM990993	1364	1467	1574	1732	1922	2182	2502	2965	3549	4412	10326
AM990994	1	4381	31.63661265	rep_cluster_1118	AM990994	MOBP	NC_012000_00003	-	-	-	-	Mobilizable	AM990994	0	590	AM990994	1364	1467	1574	1732	1922	2182	2502	2965	3549	4371	7026
AM990995	1	3158	29.00569981	rep_cluster_1017	000264__NC_017336_00001	-	-	-	-	-	-	Non-mobilizable	AM990995	0	556	AM990995	1364	1467	1574	1732	1922	2182	2502	2885	3283	3724	5598
AP002086	1	217594	57.31637821	-	-	MOBQ,MOBQ	NC_016814_00131,NC_002575_00134	MPF_T	NC_002575_00131,NC_009621_00340,NC_019555_00155,NC_010841_00159,NC_011982_00179,NC_010841_00162,NC_011982_00176,NC_002575_00190,NC_011982_00166	-	-	Conjugative	AP002086	0	136	AP002086	458	474	490	515	546	580	614	649	711	797	1124
AP003017	1	208315	59.87566906	IncP	000187__AP003017_00244	MOBP	NC_002682_00249	MPF_T	NC_002682_00109,NC_002682_00114,NC_002682_00250	-	-	Conjugative	AP003017	0	7829	AP003017	561	579	602	632	672	715	758	805	893	1001	1446
AP004310	1	119895	42.95008132	-	-	-	-	-	-	-	-	Non-mobilizable	AP004310	0	3286	AP004310	228	236	243	255	276	298	317	334	355	374	561
AP004311	1	103307	44.47907693	-	-	-	-	-	-	-	-	Non-mobilizable	AP004311	0	3294	AP004311	338	351	363	382	407	431	454	481	516	564	814
AP005352	1	48508	44.92661004	-	-	MOBF	NC_009702_00055	MPF_F	NC_005128_00006,NC_005128_00009,NC_009702_00037,NZ_CM001801_00015,NC_005128_00012,NZ_CM001801_00017,NC_005128_00015,NC_005128_00016,NZ_CM001801_00023,NZ_CM001801_00024,NZ_CM001801_00030	-	-	Conjugative	AP005352	0	7630	AP005352	344	357	369	388	413	437	460	487	523	571	823
AP006520	1	47890	44.15117979	rep_cluster_349	001664__CP006255_00026	-	-	-	-	-	-	Non-mobilizable	AP006520	0	2721	AP006520	3880	4021	4177	4390	4655	5003	5428	6039	6836	8032	15280
AP006726	1	224152	50.16818944	IncFIB,IncHI1B	000107__CP014778_00094,JN420336	-	-	-	-	-	-	Non-mobilizable	AP006726	0	4071	AP006726	1364	1467	1574	1732	1922	2182	2502	2965	3549	4412	8439
AP008931	1	271577	61.90546328	-	-	MOBP	NC_007491_00273	-	-	-	-	Mobilizable	AP008931	0	7135	AP008931	2789	2930	3086	3299	3564	3912	4337	4948	5745	6941	14189
AP008932	1	104014	63.02132405	-	-	MOBF	NC_007486_00018	-	-	-	-	Mobilizable	AP008932	0	6712	AP008932	606	624	647	678	719	764	809	862	959	1071	1553
AP008933	1	3637	62.22161122	rep_cluster_1626	001016__AP008933_00001	-	-	-	-	-	-	Non-mobilizable	AP008933	0	5400	AP008933	535	553	576	606	645	686	726	770	856	962	1402
AP009379	1	122345	51.04009154	IncFIC,IncFIA,rep_cluster_2131,IncFIB	CP003035,000136__AP014877_00014,CP030770_00142,000096__NC_019117_00097	MOBF	NC_017627_00068	MPF_F	NC_022651_00077,NC_010409_00124,NC_019094_00090,NC_017630_00031,NC_013437_00116,NC_007675_00027,NC_017639_00100,NC_018966_00040,NC_019094_00068,NC_010719_00097,NC_008460_00107,NC_019072_00073	MOBF	NC_010600	Conjugative	AP009379	0	109	AP009379	1364	1467	1574	1732	1922	2182	2502	2965	3549	4412	8815
AP010805	1	190974	62.95883209	rep_cluster_647	002102__AP017658_00105	MOBP	NC_014007_00175	MPF_F	NC_014007_00102,NC_014007_00106,NC_014007_00109,NC_014007_00110,NC_014007_00114,NC_014007_00120,NC_014007_00164,NC_014007_00169,NC_014007_00174	-	-	Conjugative	AP010805	0	5153	AP010805	1364	1467	1574	1732	1922	2182	2502	2888	3286	3730	5617
