GenomeID	num_contigs	total_length	gc	rep_type(s)	rep_type_accession(s)	relaxase_type(s)	relaxase_type_accession(s)	mpf_type	mpf_type_accession(s)	orit_type(s)	orit_accession(s)	PredictedMobility	mash_nearest_neighbor	mash_neighbor_distance	mash_neighbor_cluster	GenomeID	clust_0.1	clust_0.09	clust_0.08	clust_0.07	clust_0.06	clust_0.05	clust_0.04	clust_0.03	clust_0.02	clust_0.01	clust_0
AB588180	1	21231	36.06989779	rep_cluster_1618	001002__NC_015261_00002	MOBQ	NC_015257_00005	-	-	-	-	Mobilizable	AB588180	0	3595	AB588180	4014	4316	4619	4947	5335	5790	6334	7056	8033	9493	14623
AB597522	1	113463	69.69584799	rep_cluster_1915	001355__NC_004808_00101	MOBF	AB597522_00122	-	-	-	-	Mobilizable	AB597522	0	2424	AB597522	4502	4843	5195	5570	6027	6574	7222	8045	9138	10755	16555
AB616660	1	47236	50.99288678	IncN	000155__CP018649	MOBF	NC_015599_00019	MPF_T	NC_009131_00030,NC_011617_00041,NC_014368_00014,NC_007682_00044,NC_008612_00190,NC_022375_00024	MOBF	NZ_CP016498	Conjugative	AB616660	0	915	AB616660	2411	2600	2779	2959	3202	3483	3811	4262	4877	5782	9087
AB702969	1	165311	49.51757596	IncFIA	000136__AP014877_00014	MOBF	NC_022333_00006	MPF_F	NC_009787_00004,NZ_AGTD01000004_00104,NC_021871_00015,NC_022333_00014,NZ_AGTD01000004_00099,NC_021817_00023,NZ_AGTD01000004_00096,NZ_AGTD01000004_00094,NC_022333_00021,NZ_AGTD01000004_00091	-	-	Conjugative	AB702969	0	2382	AB702969	2361	2538	2702	2867	3089	3332	3601	3980	4464	5159	7691
AB715422	1	87343	53.2475413	IncL/M	U27345	MOBP	NC_004464_00056	MPF_I	NC_004464_00105,NC_005246_00057,NC_019063_00094,NC_019344_00078,NC_004464_00066,NC_004464_00068,NC_019154_00069,NC_005246_00069,NC_004464_00073	-	-	Conjugative	AB715422	0	1070	AB715422	2456	2655	2849	3055	3331	3661	4066	4628	5422	6653	10822
AB723628	1	31713	55.62072336	-	-	-	-	-	-	-	-	Non-mobilizable	AB723628	0	888	AB723628	2307	2477	2632	2788	2988	3212	3466	3808	4225	4797	6948
AB852526	1	59534	64.49927772	IncP	000177__AB237782_00014	MOBP	NC_001735_00050	MPF_T	NC_001735_00049,NC_008459_00022,NC_004956_00085,NC_007353_00043	MOBP	KU302802	Conjugative	AB852526	0	131	AB852526	2171	2326	2469	2607	2781	2978	3203	3502	3868	4376	6277
AB855771	1	265575	25.47905488	rep_cluster_1536	000900__AB855771_00213	-	-	MPF_T	NC_010418_00318,NC_012654_00215,NZ_AOSX01000021_00203	-	-	Non-mobilizable	AB855771	0	4922	AB855771	1220	1292	1346	1386	1445	1498	1569	1691	1818	1995	2647
AB856327	1	160406	42.58444198	rep_cluster_1134	000413__KX957972	MOBH	NC_016983_00061	MPF_F	NC_016983_00062,NC_016983_00068,NC_016983_00069,NC_016983_00071,NC_016983_00076,NC_016983_00079,NC_016983_00081,NC_016983_00200	-	-	Conjugative	AB856327	0	4210	AB856327	2228	2384	2528	2672	2852	3056	3287	3598	3975	4494	6468
AB893594	1	5420	62.34317343	rep_cluster_1626	001016__AP008933_00001	-	-	-	-	-	-	Non-mobilizable	AB893594	0	5400	AB893594	852	897	943	978	1020	1056	1112	1211	1312	1462	1968
AB905437	1	17526	69.68503937	rep_cluster_249	001526__AB905437_00009	-	-	-	-	-	-	Non-mobilizable	AB905437	0	8140	AB905437	4477	4818	5169	5544	6000	6547	7195	8018	9111	10728	16528
AB910391	1	21001	27.14632637	rep_cluster_958	002439__AB910391_00009	-	-	-	-	-	-	Non-mobilizable	AB910391	0	4125	AB910391	3413	3652	3880	4126	4444	4810	5266	5891	6774	8148	12909
AB910520	1	21001	27.15108804	rep_cluster_958	002439__AB910391_00009	-	-	-	-	-	-	Non-mobilizable	AB910520	0	4125	AB910520	3413	3652	3880	4126	4444	4810	5266	5891	6774	8148	12910
AB914479	1	27115	35.31255762	rep_cluster_1618,rep_cluster_1328	001002__NC_015261_00002,000647__CP018212_00009	MOBQ	NC_015257_00005	-	-	-	-	Mobilizable	AB914479	0	3593	AB914479	4014	4316	4618	4946	5334	5789	6333	7055	8032	9491	14620
AB914743	1	28689	35.6129527	rep_cluster_1618,rep_cluster_1328	001002__NC_015261_00002,000647__CP018212_00009	MOBQ	NC_015257_00005	-	-	-	-	Mobilizable	AB914743	0	3593	AB914743	4014	4316	4618	4946	5334	5789	6333	7055	8032	9491	14621
AB931111	1	15929	41.84192354	-	-	-	-	-	-	-	-	Non-mobilizable	AB931111	0	5111	AB931111	5005	5352	5711	6096	6563	7118	7780	8621	9721	11350	17229
AB972537	1	2524	51.50554675	-	-	-	-	-	-	-	-	Non-mobilizable	AB972537	0	8141	AB972537	5188	5535	5895	6282	6751	7308	7973	8815	9916	11547	17443
AB972538	1	7187	51.0922499	rep_cluster_1911	001351__AB972538	MOBQ	CP025271_00003	-	-	-	-	Mobilizable	AB972538	0	7485	AB972538	2498	2699	2894	3103	3381	3717	4132	4712	5545	6838	11412
AB972539	1	5537	55.21040275	rep_cluster_1574	000948__AB972539_00003	-	-	-	-	-	-	Non-mobilizable	AB972539	0	6000	AB972539	2516	2717	2912	3121	3399	3736	4151	4731	5564	6857	11431
AB981620	1	5845	67.45936698	-	-	-	-	-	-	-	-	Non-mobilizable	AB981620	0	5992	AB981620	4979	5325	5684	6068	6535	7090	7749	8587	9686	11313	17177
AB983195	1	2908	29.29848693	rep_cluster_1230	000530__NC_010626_00002	-	-	-	-	-	-	Non-mobilizable	AB983195	0	576	AB983195	4265	4588	4919	5280	5712	6225	6837	7627	8685	10252	15719
AB987830	1	4301	61.35782376	rep_cluster_1414	000754__AB987830_00001	-	-	-	-	-	-	Non-mobilizable	AB987830	0	8142	AB987830	4831	5176	5535	5919	6386	6940	7596	8431	9530	11155	17005
AE000784	1	28601	25.04108248	-	-	-	-	-	-	-	-	Non-mobilizable	AE000784	0	3855	AE000784	565	595	612	632	655	674	712	776	838	917	1175
AE000785	1	24177	23.34863713	-	-	-	-	-	-	-	-	Non-mobilizable	AE000785	0	3853	AE000785	561	591	606	626	649	667	705	769	828	902	1143
AE000787	1	38829	26.06814494	-	-	-	-	-	-	-	-	Non-mobilizable	AE000787	0	4113	AE000787	551	581	595	613	635	652	688	747	802	872	1089
AE001583	1	5228	23.81407804	-	-	-	-	-	-	-	-	Non-mobilizable	AE001583	0	3865	AE001583	532	557	569	581	598	610	632	655	675	717	894
AE001826	1	177466	63.19238615	-	-	MOBP	NC_000958_00019	-	-	-	-	Mobilizable	AE001826	0	4563	AE001826	3303	3541	3765	4009	4321	4682	5130	5749	6629	7990	12718
AE001827	1	45704	56.1635743	-	-	-	-	-	-	-	-	Non-mobilizable	AE001827	0	7287	AE001827	3301	3539	3763	4007	4319	4680	5128	5747	6627	7988	12712
AE008924	1	33700	61.86350148	rep_cluster_429	001763__NC_003922_00014	-	-	-	-	-	-	Non-mobilizable	AE008924	0	3172	AE008924	1478	1566	1634	1686	1759	1832	1924	2062	2220	2435	3267
AE017195	1	208369	33.43971512	rep_cluster_125	000558__CP013279	-	-	MPF_unknown	NC_017203_00099,NC_018501_00133	-	-	Non-mobilizable	AE017195	0	3256	AE017195	3662	3918	4161	4426	4758	5140	5600	6238	7135	8528	13395
AF003958	1	6076	39.25279789	-	-	MOBP	AF003958_00007	-	-	MOBP	NC_013366	Mobilizable	AF003958	0	2428	AF003958	1360	1437	1498	1544	1611	1676	1759	1889	2038	2243	3023
AF019744	1	3300	43.87878788	-	-	-	-	-	-	-	-	Non-mobilizable	AF019744	0	1279	AF019744	2264	2426	2576	2727	2918	3130	3369	3695	4097	4648	6758
AF028735	1	1987	31.45445395	-	-	-	-	-	-	-	-	Non-mobilizable	AF028735	0	8143	AF028735	5189	5536	5896	6283	6752	7309	7974	8816	9917	11548	17444
AF030624	1	1680	38.75	Inc13	000070__AF030624_00001	-	-	-	-	-	-	Non-mobilizable	AF030624	0	6299	AF030624	1260	1333	1390	1430	1492	1550	1628	1753	1891	2078	2779
AF036712	1	7028	36.88104724	Inc13	000073__AF036712_00003	MOBV	NC_001858_00003	-	-	-	-	Mobilizable	AF036712	0	541	AF036712	4366	4704	5053	5423	5875	6420	7064	7885	8976	10591	16379
AF065242	1	38235	54.14933961	-	-	-	-	-	-	-	-	Non-mobilizable	AF065242	0	7108	AF065242	1580	1679	1757	1820	1902	1988	2096	2256	2426	2670	3579
AF128883	1	20719	28.59694001	rep_cluster_1733,rep_cluster_2214	BX571858,AP003139	-	-	-	-	-	-	Non-mobilizable	AF128883	0	2968	AF128883	4297	4630	4967	5331	5770	6297	6920	7725	8792	10376	16004
AF141883	1	10968	54.13931437	-	-	-	-	-	-	-	-	Non-mobilizable	AF141883	0	5536	AF141883	1505	1595	1667	1724	1800	1878	1976	2124	2289	2513	3401
AF149757	1	6886	44.35085681	-	-	-	-	-	-	-	-	Non-mobilizable	AF149757	0	4879	AF149757	5014	5361	5720	6107	6575	7131	7794	8635	9735	11365	17244
AF164559	1	9328	37.19982847	rep_cluster_1070	000318__NC_005010_00009	MOBP	NC_005010_00008	-	-	-	-	Mobilizable	AF164559	0	8144	AF164559	4088	4393	4703	5042	5439	5907	6470	7208	8199	9669	14864
AF176225	1	1511	47.12111185	-	-	-	-	-	-	-	-	Non-mobilizable	AF176225	0	8145	AF176225	5190	5537	5897	6284	6753	7310	7975	8817	9918	11549	17445
AF200347	1	18664	34.3281183	-	-	-	-	-	-	-	-	Non-mobilizable	AF200347	0	4514	AF200347	3884	4154	4414	4703	5049	5445	5929	6600	7536	8971	14005
AF233873	1	1995	42.45614035	-	-	-	-	-	-	-	-	Non-mobilizable	AF233873	0	8146	AF233873	5191	5538	5898	6285	6754	7311	7976	8818	9919	11550	17446
AF236060	1	6127	44.88330341	rep_cluster_64	002093__AF109691_00007	-	-	-	-	-	-	Non-mobilizable	AF236060	0	4630	AF236060	3845	4114	4370	4654	4997	5392	5870	6536	7470	8903	13930
AF244083	1	4807	51.15456626	rep_cluster_2358	CP000974_00005	-	-	-	-	-	-	Non-mobilizable	AF244083	0	1841	AF244083	1830	1943	2042	2128	2237	2351	2490	2681	2898	3196	4428
AF244084	1	5643	51.12528797	rep_cluster_1164	000444__AF244084_00005	-	-	-	-	-	-	Non-mobilizable	AF244084	0	1838	AF244084	1828	1941	2039	2125	2234	2348	2487	2678	2895	3192	4422
AF264948	1	28185	50.2111052	rep_cluster_1099	000354__NC_018978_00001	-	-	-	-	-	-	Non-mobilizable	AF264948	0	2496	AF264948	1548	1647	1724	1786	1867	1951	2057	2214	2383	2616	3522
AF292711	1	8720	24.28899083	-	-	-	-	-	-	-	-	Non-mobilizable	AF292711	0	2279	AF292711	533	558	570	582	599	611	633	656	677	720	898
AF302424	1	25407	39.01680639	rep_cluster_1012	000246__KX753679_00001	MOBP	NC_002579_00003	MPF_T	NC_002579_00023,NC_002579_00026,NC_002579_00027,NC_021724_00034,NC_002579_00032	-	-	Conjugative	AF302424	0	2936	AF302424	1626	1728	1809	1875	1963	2052	2165	2328	2504	2751	3681
AF305615	1	4675	42.88770053	-	-	MOBF	NC_002632_00006	-	-	-	-	Mobilizable	AF305615	0	1400	AF305615	1240	1313	1367	1407	1467	1524	1599	1723	1858	2044	2732
AF306799	1	6094	33.42632097	rep_cluster_414	001739__AF306799	-	-	-	-	MOBP	NC_005312	Mobilizable	AF306799	0	2229	AF306799	4139	4455	4771	5117	5525	6012	6591	7340	8346	9837	15082
AF312688	1	22688	65.47954866	-	-	-	-	-	-	-	-	Non-mobilizable	AF312688	0	3084	AF312688	4677	5020	5376	5754	6217	6768	7418	8246	9341	10959	16769
AF449498	1	21019	48.51800752	-	-	-	-	-	-	-	-	Non-mobilizable	AF449498	0	751	AF449498	2467	2667	2861	3068	3346	3681	4095	4674	5505	6797	11368
AF459640	1	2134	38.42549203	rep_cluster_689	002154__CP003139_00001	-	-	-	-	-	-	Non-mobilizable	AF459640	0	3653	AF459640	3794	4060	4313	4592	4931	5320	5794	6452	7377	8809	13824
AF479774	1	11354	48.96071869	ColRNAI_rep_cluster_1987	CP041116_00002	-	-	-	-	-	-	Non-mobilizable	AF479774	0	1114	AF479774	2261	2421	2570	2721	2910	3118	3355	3677	4078	4628	6714
AF511037	1	3176	32.87153652	rep_cluster_1197	AF511037	-	-	-	-	-	-	Non-mobilizable	AF511037	0	3183	AF511037	4084	4389	4699	5037	5434	5901	6464	7200	8191	9661	14853
AJ224743	1	1921	40.60385216	-	-	-	-	-	-	-	-	Non-mobilizable	AJ224743	0	7487	AJ224743	4935	5281	5640	6024	6491	7046	7704	8540	9639	11266	17119
AJ271879	1	10687	57.03190793	IncQ1	000191__AB109805_00009	MOBQ	NC_005312_00007	-	-	MOBQ	KP398867	Mobilizable	AJ271879	0	188	AJ271879	2240	2398	2543	2688	2870	3075	3308	3622	4010	4542	6568
AJ297913	1	45319	58.9024471	rep_cluster_236	001511__KJ850907_00001	MOBP	NC_010332_00013	MPF_T	NC_010332_00022,NC_010332_00023,NC_010332_00025,NC_010332_00028	-	-	Conjugative	AJ297913	0	193	AJ297913	2103	2251	2391	2525	2697	2883	3093	3363	3652	4058	5847
AJ304453	1	55578	59.84742164	-	-	MOBP	AJ304453_00017	MPF_T	NC_010332_00028	-	-	Conjugative	AJ304453	0	195	AJ304453	2107	2256	2396	2530	2702	2888	3098	3368	3657	4063	5854
AJ311718	1	4379	49.73738296	-	-	-	-	-	-	-	-	Non-mobilizable	AJ311718	0	8035	AJ311718	1646	1749	1831	1898	1988	2079	2198	2363	2544	2796	3754
AJ431260	1	79370	62.75544916	IncP	000180__NC_006830_00001	MOBP	NC_007353_00011	MPF_T	NC_007353_00043,NC_006830_00008,NC_006830_00009,NC_019318_00040	MOBP	NC_017965	Conjugative	AJ431260	0	127	AJ431260	2172	2327	2470	2608	2783	2981	3208	3511	3884	4400	6312
AJ493278	1	9935	32.93407146	rep_cluster_589	001996__NC_004528_00009	MOBV	NC_004528_00008	-	-	-	-	Mobilizable	AJ493278	0	4439	AJ493278	4039	4344	4647	4978	5369	5827	6376	7104	8088	9550	14697
AJ576039	1	101016	66.00439534	-	-	MOBF	NC_005307_00072	-	-	-	-	Mobilizable	AJ576039	0	3956	AJ576039	4636	4979	5334	5712	6174	6724	7374	8202	9297	10915	16724
AJ579365	1	17108	33.99579144	rep_cluster_282	FN377602	MOBV,MOBV	NC_005076_00012,AJ579365_00019	-	-	MOBV	NZ_CP009579	Mobilizable	AJ579365	0	608	AJ579365	4333	4670	5016	5384	5833	6373	7010	7829	8916	10527	16301
AJ639924	1	56167	63.80258871	IncP	000177__AB237782_00014	MOBP	NC_001735_00050	MPF_T	NC_019318_00059,NC_004956_00085,NC_008459_00022,NC_001735_00049	MOBP	NC_022371	Conjugative	AJ639924	0	133	AJ639924	2171	2326	2469	2607	2781	2978	3203	3503	3871	4385	6291
AJ744860	1	68869	62.34009496	IncP	000182__CP002151_00001	MOBP	NC_008357_00089	MPF_T	NC_019318_00059,NC_008357_00035,NC_008357_00088	MOB_unknown	NZ_HG941719	Conjugative	AJ744860	0	145	AJ744860	2287	2451	2602	2754	2949	3168	3414	3751	4157	4715	6846
AJ748844	1	3649	34.99588928	-	-	-	-	-	-	-	-	Non-mobilizable	AJ748844	0	7809	AJ748844	4928	5274	5633	6017	6484	7038	7694	8529	9628	11255	17106
AJ863570	1	57198	64.61939229	IncP	000177__AB237782_00014	MOBP	NC_001735_00050	MPF_T	NC_019318_00059,NC_004956_00085,NC_008459_00022,NC_001735_00049	MOBP	KU302802	Conjugative	AJ863570	0	131	AJ863570	2171	2326	2469	2607	2781	2978	3203	3502	3868	4377	6278
AJ871637	1	9698	32.39843267	-	-	MOBV	NC_006869_00001	-	-	-	-	Mobilizable	AJ871637	0	626	AJ871637	3557	3802	4033	4286	4609	4983	5440	6068	6954	8334	13139
AJ871638	1	14218	29.47671965	rep_cluster_1836	001262__CP009690	MOBV	NC_006870_00006	-	-	-	-	Mobilizable	AJ871638	0	2109	AJ871638	3559	3804	4035	4288	4611	4985	5442	6070	6956	8336	13141
AM039948	1	1852	56.587473	-	-	-	-	-	-	-	-	Non-mobilizable	AM039948	0	2147	AM039948	4937	5283	5642	6026	6493	7048	7706	8542	9641	11268	17121
AM039949	1	19146	59.76183015	-	-	MOBQ	NC_007505_00009	-	-	-	-	Mobilizable	AM039949	0	3167	AM039949	1478	1565	1632	1684	1756	1829	1921	2058	2216	2431	3251
AM039950	1	38116	60.7330255	-	-	MOBF	NC_017558_00016	MPF_T	NC_007506_00022,NC_005240_00012,NC_017558_00032,NC_005240_00010,NC_005240_00006	-	-	Conjugative	AM039950	0	5637	AM039950	1487	1576	1646	1699	1774	1850	1947	2089	2252	2473	3357
AM039951	1	182572	60.49284666	rep_cluster_461	001811__CP013007_00019	MOBP	NC_007507_00032	MPF_I	NC_007507_00008,NC_007507_00042,NC_007507_00056,NC_007507_00198,NC_007507_00199	-	-	Conjugative	AM039951	0	7319	AM039951	1482	1570	1639	1692	1766	1842	1936	2076	2235	2451	3300
AM157767	1	69966	57.5007861	rep_cluster_717	002189__AM157767_00028	MOBP	AM157767_00077	MPF_T	NC_019318_00059,NC_019378_00044	-	-	Conjugative	AM157767	0	168	AM157767	2167	2322	2465	2603	2777	2974	3198	3496	3859	4357	6236
AM180253	1	27048	29.04835847	rep_cluster_1701	001111__NC_020128_00032	-	-	-	-	-	-	Non-mobilizable	AM180253	0	3329	AM180253	984	1041	1091	1129	1176	1219	1278	1383	1491	1650	2227
AM236081	1	151564	57.62186271	rep_cluster_512,rep_cluster_446,rep_cluster_592	001886__CP016288,001790__NC_007762_00218,002017__CP007238_00110	MOBQ	NC_008382_00075	MPF_T	NC_008382_00063,NC_008382_00140,NC_008382_00142,NC_008382_00143,NC_008382_00144	-	-	Conjugative	AM236081	0	5336	AM236081	2874	3092	3302	3527	3823	4168	4598	5188	6026	7328	11938
AM236082	1	147463	58.7449055	rep_cluster_577	001976__HG916853_00001	MOBQ	NC_008383_00124	MPF_T	NC_008383_00121,NC_010865_00164,NC_008383_00141	-	-	Conjugative	AM236082	0	7578	AM236082	2869	3087	3297	3521	3817	4162	4591	5181	6019	7321	11931
AM236083	1	352782	60.99092357	rep_cluster_685	002150__AM236083_00122	-	-	-	-	-	-	Non-mobilizable	AM236083	0	2847	AM236083	3207	3444	3666	3906	4212	4569	5015	5627	6501	7857	12571
AM260523	1	3661	34.55340071	rep_cluster_137	000692__CP012906	-	-	-	-	-	-	Non-mobilizable	AM260523	0	2266	AM260523	798	843	889	924	966	1002	1056	1153	1253	1402	1905
AM260524	1	23343	35.02548944	rep_cluster_1829	001250__HG969193_00001	-	-	-	-	-	-	Non-mobilizable	AM260524	0	3743	AM260524	833	878	924	959	1001	1037	1091	1188	1288	1437	1940
AM261282	1	54383	60.83886509	IncP	000175__JQ004408_00022	MOBP	NC_019318_00039	MPF_T	NC_019318_00059,NC_019318_00058,NC_019318_00057,NC_019318_00040	MOBP	NC_017965	Conjugative	AM261282	0	166	AM261282	2169	2324	2467	2605	2779	2976	3201	3499	3862	4360	6242
AM711865	1	27357	67.55857733	rep_cluster_204	001466__CP011044	MOBC	CP012574_00009	-	-	-	-	Mobilizable	AM711865	0	7642	AM711865	4552	4894	5246	5621	6081	6629	7277	8102	9196	10813	16616
AM711866	1	69989	66.49616368	-	-	MOBF,MOBF	AM711866_00011,NC_009479_00012	MPF_T	NC_009479_00014	-	-	Conjugative	AM711866	0	7647	AM711866	4555	4897	5250	5626	6086	6634	7282	8107	9201	10818	16623
AM747723	1	92661	62.76211135	rep_cluster_1467	000805__NC_008545_00092	MOBF	NC_011003_00065	MPF_F	NC_011003_00023,NC_011003_00024,NC_011003_00035,NC_011003_00036,NC_011003_00037,NC_011003_00047,NC_011003_00048,NC_011003_00052,NC_011003_00067	-	-	Conjugative	AM747723	0	5425	AM747723	2762	2978	3185	3406	3696	4039	4463	5052	5890	7187	11790
AM849035	1	50350	67.46176763	rep_cluster_204	001467__CP012574	MOBC	CP012574_00009	-	-	-	-	Mobilizable	AM849035	0	7644	AM849035	4553	4895	5247	5623	6083	6631	7279	8104	9198	10815	16618
AM849036	1	94791	68.84408857	-	-	-	-	-	-	-	-	Non-mobilizable	AM849036	0	8147	AM849036	4557	4899	5252	5628	6088	6636	7284	8109	9203	10820	16625
AM886060	1	62830	40.01750756	rep_cluster_349	001664__CP006255_00026	MOBQ	CP000558_00038	MPF_T	NC_010420_00058	-	-	Conjugative	AM886060	0	5388	AM886060	1121	1183	1235	1274	1329	1374	1437	1550	1667	1834	2457
AM942760	1	36289	36.20656397	IncX8	000229__AM942760_00001	MOBP	NC_010555_00037	MPF_T	NC_010555_00009,NC_010555_00012,NC_010555_00014,NC_010555_00015	-	-	Conjugative	AM942760	0	5964	AM942760	2147	2302	2443	2580	2754	2949	3169	3461	3818	4308	6175
AM990993	1	5246	30.72817385	rep_cluster_1118	000379__NC_013452_00003	MOBV	NC_010262_00002	-	-	-	-	Mobilizable	AM990993	0	2219	AM990993	4226	4547	4875	5232	5659	6169	6775	7560	8609	10160	15555
AM990994	1	4381	31.63661265	rep_cluster_1118	AM990994	MOBP	NC_012000_00003	-	-	-	-	Mobilizable	AM990994	0	590	AM990994	4221	4542	4869	5226	5652	6161	6766	7551	8600	10146	15541
AM990995	1	3158	29.00569981	rep_cluster_1017	000264__NC_017336_00001	-	-	-	-	-	-	Non-mobilizable	AM990995	0	556	AM990995	4270	4594	4927	5289	5724	6239	6854	7646	8705	10275	15755
AP002086	1	217594	57.31637821	-	-	MOBQ,MOBQ	NC_016814_00131,NC_002575_00134	MPF_T	NC_002575_00131,NC_009621_00340,NC_019555_00155,NC_010841_00159,NC_011982_00179,NC_010841_00162,NC_011982_00176,NC_002575_00190,NC_011982_00166	-	-	Conjugative	AP002086	0	136	AP002086	2891	3110	3322	3547	3844	4189	4619	5209	6049	7351	11962
AP003017	1	208315	59.87566906	IncP	000187__AP003017_00244	MOBP	NC_002682_00249	MPF_T	NC_002682_00109,NC_002682_00114,NC_002682_00250	-	-	Conjugative	AP003017	0	7829	AP003017	1533	1629	1706	1767	1848	1931	2036	2192	2361	2591	3486
AP004310	1	119895	42.95008132	-	-	-	-	-	-	-	-	Non-mobilizable	AP004310	0	3286	AP004310	138	141	143	144	150	154	159	167	171	182	255
AP004311	1	103307	44.47907693	-	-	-	-	-	-	-	-	Non-mobilizable	AP004311	0	3294	AP004311	136	139	141	142	148	152	157	165	169	180	251
AP005352	1	48508	44.92661004	-	-	MOBF	NC_009702_00055	MPF_F	NC_005128_00006,NC_005128_00009,NC_009702_00037,NZ_CM001801_00015,NC_005128_00012,NZ_CM001801_00017,NC_005128_00015,NC_005128_00016,NZ_CM001801_00023,NZ_CM001801_00024,NZ_CM001801_00030	-	-	Conjugative	AP005352	0	7630	AP005352	1175	1242	1294	1333	1391	1439	1506	1623	1741	1911	2543
AP006520	1	47890	44.15117979	rep_cluster_349	001664__CP006255_00026	-	-	-	-	-	-	Non-mobilizable	AP006520	0	2721	AP006520	1123	1186	1238	1277	1334	1382	1448	1562	1679	1847	2470
AP006726	1	224152	50.16818944	IncFIB,IncHI1B	000107__CP014778_00094,JN420336	-	-	-	-	-	-	Non-mobilizable	AP006726	0	4071	AP006726	2428	2619	2800	2983	3232	3519	3858	4333	5002	6022	9608
AP008931	1	271577	61.90546328	-	-	MOBP	NC_007491_00273	-	-	-	-	Mobilizable	AP008931	0	7135	AP008931	4781	5126	5483	5866	6331	6885	7537	8371	9470	11094	16943
AP008932	1	104014	63.02132405	-	-	MOBF	NC_007486_00018	-	-	-	-	Mobilizable	AP008932	0	6712	AP008932	4775	5120	5477	5859	6324	6876	7528	8362	9461	11085	16933
AP008933	1	3637	62.22161122	rep_cluster_1626	001016__AP008933_00001	-	-	-	-	-	-	Non-mobilizable	AP008933	0	5400	AP008933	852	897	943	978	1020	1056	1112	1211	1312	1463	1970
