GenomeID	num_contigs	total_length	gc	rep_type(s)	rep_type_accession(s)	relaxase_type(s)	relaxase_type_accession(s)	mpf_type	mpf_type_accession(s)	orit_type(s)	orit_accession(s)	PredictedMobility	mash_nearest_neighbor	mash_neighbor_distance	mash_neighbor_cluster	GenomeID	clust_90	clust_91	clust_92	clust_93	clust_94	clust_95	clust_96	clust_97	clust_98	clust_99	clust_100
AF149757	1	6886	44.35085681	-	-	-	-	-	-	-	-	Non-mobilizable	AF149757	0	4879	AF149757	6366	6484	6620	6807	7026	7328	7680	8191	8943	10047	16635
AF164559	1	9328	37.19982847	rep_cluster_1070	000318__NC_005010_00009	MOBP	NC_005010_00008	-	-	-	-	Mobilizable	AF164559	0	8144	AF164559	6228	6346	6482	6669	6888	7190	7542	8053	8805	9909	16497
AF176225	1	1511	47.12111185	-	-	-	-	-	-	-	-	Non-mobilizable	AF176225	0	8145	AF176225	1509	1584	1666	1763	1877	2015	2154	2347	2561	2818	4376
AF200347	1	18664	34.3281183	-	-	-	-	-	-	-	-	Non-mobilizable	AF200347	0	4514	AF200347	636	661	694	728	763	812	858	921	984	1056	1587
AF233873	1	1995	42.45614035	-	-	-	-	-	-	-	-	Non-mobilizable	AF233873	0	8146	AF233873	6558	6676	6812	6999	7218	7520	7872	8383	9135	10239	16827
AF236060	1	6127	44.88330341	rep_cluster_64	002093__AF109691_00007	-	-	-	-	-	-	Non-mobilizable	AF236060	0	4630	AF236060	2431	2536	2651	2791	2959	3187	3441	3790	4236	4821	8222
AF244083	1	4807	51.15456626	rep_cluster_2358	CP000974_00005	-	-	-	-	-	-	Non-mobilizable	AF244083	0	1841	AF244083	864	896	941	992	1043	1108	1170	1249	1339	1446	2215
AF244084	1	5643	51.12528797	rep_cluster_1164	000444__AF244084_00005	-	-	-	-	-	-	Non-mobilizable	AF244084	0	1838	AF244084	1044	1088	1140	1204	1274	1351	1434	1549	1679	1843	2855
AF264948	1	28185	50.2111052	rep_cluster_1099	000354__NC_018978_00001	-	-	-	-	-	-	Non-mobilizable	AF264948	0	2496	AF264948	1843	1929	2022	2133	2266	2442	2620	2860	3156	3509	5529
AF292711	1	8720	24.28899083	-	-	-	-	-	-	-	-	Non-mobilizable	AF292711	0	2279	AF292711	933	969	1018	1075	1136	1204	1274	1365	1462	1589	2440
AF302424	1	25407	39.01680639	rep_cluster_1012	000246__KX753679_00001	MOBP	NC_002579_00003	MPF_T	NC_002579_00023,NC_002579_00026,NC_002579_00027,NC_021724_00034,NC_002579_00032	-	-	Conjugative	AF302424	0	2936	AF302424	1389	1461	1536	1622	1729	1854	1982	2156	2347	2577	3950
AF305615	1	4675	42.88770053	-	-	MOBF	NC_002632_00006	-	-	-	-	Mobilizable	AF305615	0	1400	AF305615	6067	6185	6321	6508	6727	7029	7381	7892	8644	9748	16336
AF306799	1	6094	33.42632097	rep_cluster_414	001739__AF306799	-	-	-	-	MOBP	NC_005312	Mobilizable	AF306799	0	2229	AF306799	1000	1042	1094	1154	1222	1294	1370	1476	1597	1745	2655
AF312688	1	22688	65.47954866	-	-	-	-	-	-	-	-	Non-mobilizable	AF312688	0	3084	AF312688	3936	4054	4190	4377	4596	4898	5250	5761	6513	7617	14205
AF449498	1	21019	48.51800752	-	-	-	-	-	-	-	-	Non-mobilizable	AF449498	0	751	AF449498	2614	2721	2839	2992	3165	3407	3680	4065	4576	5286	9476
AF459640	1	2134	38.42549203	rep_cluster_689	002154__CP003139_00001	-	-	-	-	-	-	Non-mobilizable	AF459640	0	3653	AF459640	70	71	72	73	74	76	79	82	88	96	126
AF479774	1	11354	48.96071869	ColRNAI_rep_cluster_1987	CP041116_00002	-	-	-	-	-	-	Non-mobilizable	AF479774	0	1114	AF479774	2669	2776	2894	3048	3226	3472	3756	4160	4708	5477	10127
AF511037	1	3176	32.87153652	rep_cluster_1197	AF511037	-	-	-	-	-	-	Non-mobilizable	AF511037	0	3183	AF511037	2355	2457	2571	2708	2872	3088	3333	3676	4109	4673	7820
AJ224743	1	1921	40.60385216	-	-	-	-	-	-	-	-	Non-mobilizable	AJ224743	0	7487	AJ224743	6851	6969	7105	7292	7511	7813	8165	8676	9428	10532	17120
AJ271879	1	10687	57.03190793	IncQ1	000191__AB109805_00009	MOBQ	NC_005312_00007	-	-	MOBQ	KP398867	Mobilizable	AJ271879	0	188	AJ271879	2106	2202	2308	2431	2576	2769	2980	3281	3643	4091	6749
AJ297913	1	45319	58.9024471	rep_cluster_236	001511__KJ850907_00001	MOBP	NC_010332_00013	MPF_T	NC_010332_00022,NC_010332_00023,NC_010332_00025,NC_010332_00028	-	-	Conjugative	AJ297913	0	193	AJ297913	3243	3359	3491	3673	3883	4176	4517	5001	5713	6753	12932
AJ304453	1	55578	59.84742164	-	-	MOBP	AJ304453_00017	MPF_T	NC_010332_00028	-	-	Conjugative	AJ304453	0	195	AJ304453	3298	3414	3547	3731	3945	4241	4585	5080	5808	6868	13148
AJ311718	1	4379	49.73738296	-	-	-	-	-	-	-	-	Non-mobilizable	AJ311718	0	8035	AJ311718	1196	1254	1317	1395	1490	1601	1712	1871	2029	2222	3376
AJ431260	1	79370	62.75544916	IncP	000180__NC_006830_00001	MOBP	NC_007353_00011	MPF_T	NC_007353_00043,NC_006830_00008,NC_006830_00009,NC_019318_00040	MOBP	NC_017965	Conjugative	AJ431260	0	127	AJ431260	3385	3502	3637	3822	4039	4339	4689	5193	5938	7021	13477
AJ493278	1	9935	32.93407146	rep_cluster_589	001996__NC_004528_00009	MOBV	NC_004528_00008	-	-	-	-	Mobilizable	AJ493278	0	4439	AJ493278	6677	6795	6931	7118	7337	7639	7991	8502	9254	10358	16946
AJ576039	1	101016	66.00439534	-	-	MOBF	NC_005307_00072	-	-	-	-	Mobilizable	AJ576039	0	3956	AJ576039	3216	3332	3463	3645	3851	4139	4477	4960	5665	6694	12843
AJ579365	1	17108	33.99579144	rep_cluster_282	FN377602	MOBV,MOBV	NC_005076_00012,AJ579365_00019	-	-	MOBV	NZ_CP009579	Mobilizable	AJ579365	0	608	AJ579365	1235	1295	1359	1437	1533	1647	1759	1919	2080	2276	3452
AJ639924	1	56167	63.80258871	IncP	000177__AB237782_00014	MOBP	NC_001735_00050	MPF_T	NC_019318_00059,NC_004956_00085,NC_008459_00022,NC_001735_00049	MOBP	NC_022371	Conjugative	AJ639924	0	133	AJ639924	3381	3498	3633	3817	4034	4333	4682	5185	5928	7007	13432
AJ744860	1	68869	62.34009496	IncP	000182__CP002151_00001	MOBP	NC_008357_00089	MPF_T	NC_019318_00059,NC_008357_00035,NC_008357_00088	MOB_unknown	NZ_HG941719	Conjugative	AJ744860	0	145	AJ744860	3382	3499	3634	3818	4035	4335	4684	5188	5932	7012	13452
AJ748844	1	3649	34.99588928	-	-	-	-	-	-	-	-	Non-mobilizable	AJ748844	0	7809	AJ748844	6678	6796	6932	7119	7338	7640	7992	8503	9255	10359	16947
AJ863570	1	57198	64.61939229	IncP	000177__AB237782_00014	MOBP	NC_001735_00050	MPF_T	NC_019318_00059,NC_004956_00085,NC_008459_00022,NC_001735_00049	MOBP	KU302802	Conjugative	AJ863570	0	131	AJ863570	3381	3498	3633	3817	4034	4333	4682	5186	5930	7009	13437
AJ871637	1	9698	32.39843267	-	-	MOBV	NC_006869_00001	-	-	-	-	Mobilizable	AJ871637	0	626	AJ871637	6167	6285	6421	6608	6827	7129	7481	7992	8744	9848	16436
AJ871638	1	14218	29.47671965	rep_cluster_1836	001262__CP009690	MOBV	NC_006870_00006	-	-	-	-	Mobilizable	AJ871638	0	2109	AJ871638	1246	1308	1372	1450	1547	1661	1777	1937	2101	2298	3483
AM039948	1	1852	56.587473	-	-	-	-	-	-	-	-	Non-mobilizable	AM039948	0	2147	AM039948	3282	3398	3531	3714	3926	4222	4566	5059	5781	6836	13094
AM039949	1	19146	59.76183015	-	-	MOBQ	NC_007505_00009	-	-	-	-	Mobilizable	AM039949	0	3167	AM039949	3538	3656	3792	3979	4198	4500	4852	5363	6115	7219	13807
AM039950	1	38116	60.7330255	-	-	MOBF	NC_017558_00016	MPF_T	NC_007506_00022,NC_005240_00012,NC_017558_00032,NC_005240_00010,NC_005240_00006	-	-	Conjugative	AM039950	0	5637	AM039950	3245	3361	3493	3675	3885	4179	4520	5004	5717	6757	12938
AM039951	1	182572	60.49284666	rep_cluster_461	001811__CP013007_00019	MOBP	NC_007507_00032	MPF_I	NC_007507_00008,NC_007507_00042,NC_007507_00056,NC_007507_00198,NC_007507_00199	-	-	Conjugative	AM039951	0	7319	AM039951	1787	1873	1966	2077	2207	2378	2552	2787	3073	3417	5380
AM157767	1	69966	57.5007861	rep_cluster_717	002189__AM157767_00028	MOBP	AM157767_00077	MPF_T	NC_019318_00059,NC_019378_00044	-	-	Conjugative	AM157767	0	168	AM157767	3369	3486	3621	3805	4021	4320	4669	5171	5912	6986	13392
AM180253	1	27048	29.04835847	rep_cluster_1701	001111__NC_020128_00032	-	-	-	-	-	-	Non-mobilizable	AM180253	0	3329	AM180253	1872	1959	2052	2163	2299	2477	2661	2913	3218	3574	5628
AM236081	1	151564	57.62186271	rep_cluster_512,rep_cluster_446,rep_cluster_592	001886__CP016288,001790__NC_007762_00218,002017__CP007238_00110	MOBQ	NC_008382_00075	MPF_T	NC_008382_00063,NC_008382_00140,NC_008382_00142,NC_008382_00143,NC_008382_00144	-	-	Conjugative	AM236081	0	5336	AM236081	5844	5962	6098	6285	6504	6806	7158	7669	8421	9525	16113
AM236082	1	147463	58.7449055	rep_cluster_577	001976__HG916853_00001	MOBQ	NC_008383_00124	MPF_T	NC_008383_00121,NC_010865_00164,NC_008383_00141	-	-	Conjugative	AM236082	0	7578	AM236082	3097	3209	3339	3515	3716	4000	4335	4806	5483	6469	12353
AM236083	1	352782	60.99092357	rep_cluster_685	002150__AM236083_00122	-	-	-	-	-	-	Non-mobilizable	AM236083	0	2847	AM236083	2862	2971	3095	3259	3448	3711	4011	4449	5074	5980	11442
AM260523	1	3661	34.55340071	rep_cluster_137	000692__CP012906	-	-	-	-	-	-	Non-mobilizable	AM260523	0	2266	AM260523	1250	1312	1376	1455	1552	1666	1783	1943	2107	2304	3493
AM260524	1	23343	35.02548944	rep_cluster_1829	001250__HG969193_00001	-	-	-	-	-	-	Non-mobilizable	AM260524	0	3743	AM260524	1275	1340	1407	1487	1587	1704	1825	1988	2157	2355	3602
AM261282	1	54383	60.83886509	IncP	000175__JQ004408_00022	MOBP	NC_019318_00039	MPF_T	NC_019318_00059,NC_019318_00058,NC_019318_00057,NC_019318_00040	MOBP	NC_017965	Conjugative	AM261282	0	166	AM261282	3390	3507	3642	3827	4045	4346	4697	5201	5947	7030	13500
AM711865	1	27357	67.55857733	rep_cluster_204	001466__CP011044	MOBC	CP012574_00009	-	-	-	-	Mobilizable	AM711865	0	7642	AM711865	2888	2998	3125	3291	3484	3748	4049	4491	5124	6035	11519
AM711866	1	69989	66.49616368	-	-	MOBF,MOBF	AM711866_00011,NC_009479_00012	MPF_T	NC_009479_00014	-	-	Conjugative	AM711866	0	7647	AM711866	2992	3102	3231	3404	3604	3881	4204	4665	5327	6286	12006
AM747723	1	92661	62.76211135	rep_cluster_1467	000805__NC_008545_00092	MOBF	NC_011003_00065	MPF_F	NC_011003_00023,NC_011003_00024,NC_011003_00035,NC_011003_00036,NC_011003_00037,NC_011003_00047,NC_011003_00048,NC_011003_00052,NC_011003_00067	-	-	Conjugative	AM747723	0	5425	AM747723	2166	2263	2372	2498	2646	2843	3060	3367	3743	4210	6972
AM849035	1	50350	67.46176763	rep_cluster_204	001467__CP012574	MOBC	CP012574_00009	-	-	-	-	Mobilizable	AM849035	0	7644	AM849035	4249	4367	4503	4690	4909	5211	5563	6074	6826	7930	14518
AM849036	1	94791	68.84408857	-	-	-	-	-	-	-	-	Non-mobilizable	AM849036	0	8147	AM849036	3838	3956	4092	4279	4498	4800	5152	5663	6415	7519	14107
AM886060	1	62830	40.01750756	rep_cluster_349	001664__CP006255_00026	MOBQ	CP000558_00038	MPF_T	NC_010420_00058	-	-	Conjugative	AM886060	0	5388	AM886060	1915	2002	2098	2213	2351	2531	2720	2983	3301	3672	5798
AM942760	1	36289	36.20656397	IncX8	000229__AM942760_00001	MOBP	NC_010555_00037	MPF_T	NC_010555_00009,NC_010555_00012,NC_010555_00014,NC_010555_00015	-	-	Conjugative	AM942760	0	5964	AM942760	2044	2137	2241	2363	2506	2697	2902	3192	3547	3974	6515
AM990993	1	5246	30.72817385	rep_cluster_1118	000379__NC_013452_00003	MOBV	NC_010262_00002	-	-	-	-	Mobilizable	AM990993	0	2219	AM990993	541	560	589	616	645	682	717	771	821	881	1336
AM990994	1	4381	31.63661265	rep_cluster_1118	AM990994	MOBP	NC_012000_00003	-	-	-	-	Mobilizable	AM990994	0	590	AM990994	514	532	558	582	607	640	673	722	766	820	1219
AM990995	1	3158	29.00569981	rep_cluster_1017	000264__NC_017336_00001	-	-	-	-	-	-	Non-mobilizable	AM990995	0	556	AM990995	145	148	155	160	172	183	191	204	217	232	339
AP002086	1	217594	57.31637821	-	-	MOBQ,MOBQ	NC_016814_00131,NC_002575_00134	MPF_T	NC_002575_00131,NC_009621_00340,NC_019555_00155,NC_010841_00159,NC_011982_00179,NC_010841_00162,NC_011982_00176,NC_002575_00190,NC_011982_00166	-	-	Conjugative	AP002086	0	136	AP002086	2980	3090	3219	3391	3591	3868	4190	4649	5306	6261	11966
AP003017	1	208315	59.87566906	IncP	000187__AP003017_00244	MOBP	NC_002682_00249	MPF_T	NC_002682_00109,NC_002682_00114,NC_002682_00250	-	-	Conjugative	AP003017	0	7829	AP003017	1364	1435	1508	1593	1699	1823	1949	2120	2306	2532	3873
AP004310	1	119895	42.95008132	-	-	-	-	-	-	-	-	Non-mobilizable	AP004310	0	3286	AP004310	2754	2862	2981	3137	3321	3574	3862	4282	4881	5754	10890
AP004311	1	103307	44.47907693	-	-	-	-	-	-	-	-	Non-mobilizable	AP004311	0	3294	AP004311	3146	3260	3390	3570	3773	4059	4394	4871	5561	6567	12513
AP005352	1	48508	44.92661004	-	-	MOBF	NC_009702_00055	MPF_F	NC_005128_00006,NC_005128_00009,NC_009702_00037,NZ_CM001801_00015,NC_005128_00012,NZ_CM001801_00017,NC_005128_00015,NC_005128_00016,NZ_CM001801_00023,NZ_CM001801_00024,NZ_CM001801_00030	-	-	Conjugative	AP005352	0	7630	AP005352	3156	3271	3401	3581	3784	4071	4407	4884	5578	6584	12578
AP006520	1	47890	44.15117979	rep_cluster_349	001664__CP006255_00026	-	-	-	-	-	-	Non-mobilizable	AP006520	0	2721	AP006520	6054	6172	6308	6495	6714	7016	7368	7879	8631	9735	16323
AP006726	1	224152	50.16818944	IncFIB,IncHI1B	000107__CP014778_00094,JN420336	-	-	-	-	-	-	Non-mobilizable	AP006726	0	4071	AP006726	3189	3305	3436	3618	3823	4110	4447	4928	5627	6644	12689
AP008931	1	271577	61.90546328	-	-	MOBP	NC_007491_00273	-	-	-	-	Mobilizable	AP008931	0	7135	AP008931	4285	4403	4539	4726	4945	5247	5599	6110	6862	7966	14554
AP008932	1	104014	63.02132405	-	-	MOBF	NC_007486_00018	-	-	-	-	Mobilizable	AP008932	0	6712	AP008932	2870	2980	3106	3270	3461	3725	4026	4466	5096	6004	11473
AP008933	1	3637	62.22161122	rep_cluster_1626	001016__AP008933_00001	-	-	-	-	-	-	Non-mobilizable	AP008933	0	5400	AP008933	1429	1502	1577	1666	1774	1903	2035	2214	2408	2644	4086
AP009379	1	122345	51.04009154	IncFIC,IncFIA,rep_cluster_2131,IncFIB	CP003035,000136__AP014877_00014,CP030770_00142,000096__NC_019117_00097	MOBF	NC_017627_00068	MPF_F	NC_022651_00077,NC_010409_00124,NC_019094_00090,NC_017630_00031,NC_013437_00116,NC_007675_00027,NC_017639_00100,NC_018966_00040,NC_019094_00068,NC_010719_00097,NC_008460_00107,NC_019072_00073	MOBF	NC_010600	Conjugative	AP009379	0	109	AP009379	2643	2750	2868	3021	3197	3442	3721	4114	4647	5390	9828
