GenomeID	num_contigs	total_length	gc	rep_type(s)	rep_type_accession(s)	relaxase_type(s)	relaxase_type_accession(s)	mpf_type	mpf_type_accession(s)	orit_type(s)	orit_accession(s)	PredictedMobility	mash_nearest_neighbor	mash_neighbor_distance	mash_neighbor_cluster	GenomeID	clust_0.1	clust_0.09	clust_0.08	clust_0.07	clust_0.06	clust_0.05	clust_0.04	clust_0.03	clust_0.02	clust_0.01	clust_0
AB931111	1	15929	41.84192354	-	-	-	-	-	-	-	-	Non-mobilizable	AB931111	0	5111	AB931111	88	88	88	88	88	89	94	99	100	103	123
AB972537	1	2524	51.50554675	-	-	-	-	-	-	-	-	Non-mobilizable	AB972537	0	8141	AB972537	3875	4232	4605	5077	5653	6352	7178	8091	9326	11103	17443
AB972538	1	7187	51.0922499	rep_cluster_1911	001351__AB972538	MOBQ	CP025271_00003	-	-	-	-	Mobilizable	AB972538	0	7485	AB972538	1191	1272	1332	1416	1515	1597	1688	1826	1997	2204	2933
AB972539	1	5537	55.21040275	rep_cluster_1574	000948__AB972539_00003	-	-	-	-	-	-	Non-mobilizable	AB972539	0	6000	AB972539	3133	3490	3863	4335	4911	5610	6436	7349	8584	10361	16701
AB981620	1	5845	67.45936698	-	-	-	-	-	-	-	-	Non-mobilizable	AB981620	0	5992	AB981620	66	66	66	66	66	67	70	72	72	74	86
AB983195	1	2908	29.29848693	rep_cluster_1230	000530__NC_010626_00002	-	-	-	-	-	-	Non-mobilizable	AB983195	0	576	AB983195	2264	2518	2787	3127	3553	3967	4396	4867	5393	5995	8133
AB987830	1	4301	61.35782376	rep_cluster_1414	000754__AB987830_00001	-	-	-	-	-	-	Non-mobilizable	AB987830	0	8142	AB987830	3191	3548	3921	4393	4969	5668	6494	7407	8642	10419	16759
AE000784	1	28601	25.04108248	-	-	-	-	-	-	-	-	Non-mobilizable	AE000784	0	3855	AE000784	1067	1125	1162	1225	1287	1340	1401	1471	1537	1639	2071
AE000785	1	24177	23.34863713	-	-	-	-	-	-	-	-	Non-mobilizable	AE000785	0	3853	AE000785	1067	1124	1159	1221	1282	1333	1393	1461	1525	1620	2036
AE000787	1	38829	26.06814494	-	-	-	-	-	-	-	-	Non-mobilizable	AE000787	0	4113	AE000787	1053	1103	1131	1186	1237	1282	1337	1399	1447	1527	1899
AE001583	1	5228	23.81407804	-	-	-	-	-	-	-	-	Non-mobilizable	AE001583	0	3865	AE001583	1067	1124	1160	1222	1283	1336	1397	1467	1532	1630	2056
AE001826	1	177466	63.19238615	-	-	MOBP	NC_000958_00019	-	-	-	-	Mobilizable	AE001826	0	4563	AE001826	1615	1720	1803	1902	2021	2121	2236	2386	2578	2808	3673
AE001827	1	45704	56.1635743	-	-	-	-	-	-	-	-	Non-mobilizable	AE001827	0	7287	AE001827	1718	1829	1917	2023	2147	2255	2379	2545	2749	3010	3918
AE008924	1	33700	61.86350148	rep_cluster_429	001763__NC_003922_00014	-	-	-	-	-	-	Non-mobilizable	AE008924	0	3172	AE008924	2264	2497	2681	2878	3094	3289	3502	3765	4094	4518	5955
AE017195	1	208369	33.43971512	rep_cluster_125	000558__CP013279	-	-	MPF_unknown	NC_017203_00099,NC_018501_00133	-	-	Non-mobilizable	AE017195	0	3256	AE017195	2264	2495	2676	2869	3076	3264	3469	3724	4042	4452	5828
AF003958	1	6076	39.25279789	-	-	MOBP	AF003958_00007	-	-	MOBP	NC_013366	Mobilizable	AF003958	0	2428	AF003958	2198	2368	2512	2673	2863	3029	3216	3454	3744	4112	5298
AF019744	1	3300	43.87878788	-	-	-	-	-	-	-	-	Non-mobilizable	AF019744	0	1279	AF019744	2462	2818	3189	3658	4233	4931	5755	6668	7901	9675	16007
AF028735	1	1987	31.45445395	-	-	-	-	-	-	-	-	Non-mobilizable	AF028735	0	8143	AF028735	3876	4233	4606	5078	5654	6353	7179	8092	9327	11104	17444
AF030624	1	1680	38.75	Inc13	000070__AF030624_00001	-	-	-	-	-	-	Non-mobilizable	AF030624	0	6299	AF030624	1211	1292	1353	1437	1537	1620	1711	1849	2020	2228	2964
AF036712	1	7028	36.88104724	Inc13	000073__AF036712_00003	MOBV	NC_001858_00003	-	-	-	-	Mobilizable	AF036712	0	541	AF036712	1297	1385	1448	1537	1639	1728	1825	1964	2138	2347	3100
AF065242	1	38235	54.14933961	-	-	-	-	-	-	-	-	Non-mobilizable	AF065242	0	7108	AF065242	2264	2514	2708	2912	3132	3336	3559	3826	4162	4590	6091
AF128883	1	20719	28.59694001	rep_cluster_1733,rep_cluster_2214	BX571858,AP003139	-	-	-	-	-	-	Non-mobilizable	AF128883	0	2968	AF128883	2264	2518	2787	3127	3568	4063	4545	5083	5682	6406	9194
AF141883	1	10968	54.13931437	-	-	-	-	-	-	-	-	Non-mobilizable	AF141883	0	5536	AF141883	2264	2518	2887	3356	3931	4629	5453	6366	7599	9373	15705
AF149757	1	6886	44.35085681	-	-	-	-	-	-	-	-	Non-mobilizable	AF149757	0	4879	AF149757	97	97	97	99	99	102	108	113	114	118	138
AF164559	1	9328	37.19982847	rep_cluster_1070	000318__NC_005010_00009	MOBP	NC_005010_00008	-	-	-	-	Mobilizable	AF164559	0	8144	AF164559	2903	3260	3633	4105	4681	5380	6206	7119	8354	10131	16471
AF176225	1	1511	47.12111185	-	-	-	-	-	-	-	-	Non-mobilizable	AF176225	0	8145	AF176225	3877	4234	4607	5079	5655	6354	7180	8093	9328	11105	17445
AF200347	1	18664	34.3281183	-	-	-	-	-	-	-	-	Non-mobilizable	AF200347	0	4514	AF200347	2264	2518	2846	3315	3890	4588	5412	6325	7558	9332	15664
AF233873	1	1995	42.45614035	-	-	-	-	-	-	-	-	Non-mobilizable	AF233873	0	8146	AF233873	3878	4235	4608	5080	5656	6355	7181	8094	9329	11106	17446
AF236060	1	6127	44.88330341	rep_cluster_64	002093__AF109691_00007	-	-	-	-	-	-	Non-mobilizable	AF236060	0	4630	AF236060	1699	1808	1896	2000	2123	2229	2353	2517	2720	2980	3880
AF244083	1	4807	51.15456626	rep_cluster_2358	CP000974_00005	-	-	-	-	-	-	Non-mobilizable	AF244083	0	1841	AF244083	2264	2518	2787	3127	3568	3996	4433	4912	5445	6053	8209
AF244084	1	5643	51.12528797	rep_cluster_1164	000444__AF244084_00005	-	-	-	-	-	-	Non-mobilizable	AF244084	0	1838	AF244084	2264	2460	2626	2811	3013	3191	3386	3633	3940	4341	5653
AF264948	1	28185	50.2111052	rep_cluster_1099	000354__NC_018978_00001	-	-	-	-	-	-	Non-mobilizable	AF264948	0	2496	AF264948	1593	1697	1779	1877	1996	2096	2210	2360	2551	2781	3619
AF292711	1	8720	24.28899083	-	-	-	-	-	-	-	-	Non-mobilizable	AF292711	0	2279	AF292711	1047	1097	1125	1178	1229	1274	1329	1391	1438	1510	1878
AF302424	1	25407	39.01680639	rep_cluster_1012	000246__KX753679_00001	MOBP	NC_002579_00003	MPF_T	NC_002579_00023,NC_002579_00026,NC_002579_00027,NC_021724_00034,NC_002579_00032	-	-	Conjugative	AF302424	0	2936	AF302424	2171	2336	2469	2624	2804	2968	3147	3382	3664	4020	5150
AF305615	1	4675	42.88770053	-	-	MOBF	NC_002632_00006	-	-	-	-	Mobilizable	AF305615	0	1400	AF305615	3088	3445	3818	4290	4866	5565	6391	7304	8539	10316	16656
AF306799	1	6094	33.42632097	rep_cluster_414	001739__AF306799	-	-	-	-	MOBP	NC_005312	Mobilizable	AF306799	0	2229	AF306799	2264	2518	2787	3127	3505	3825	4156	4528	4968	5522	7491
AF312688	1	22688	65.47954866	-	-	-	-	-	-	-	-	Non-mobilizable	AF312688	0	3084	AF312688	993	1041	1068	1118	1163	1207	1260	1319	1361	1429	1758
AF449498	1	21019	48.51800752	-	-	-	-	-	-	-	-	Non-mobilizable	AF449498	0	751	AF449498	2264	2518	2787	3127	3568	4168	4969	5882	7115	8889	15221
AF459640	1	2134	38.42549203	rep_cluster_689	002154__CP003139_00001	-	-	-	-	-	-	Non-mobilizable	AF459640	0	3653	AF459640	2264	2537	2908	3377	3952	4650	5474	6387	7620	9394	15726
AF479774	1	11354	48.96071869	ColRNAI_rep_cluster_1987	CP041116_00002	-	-	-	-	-	-	Non-mobilizable	AF479774	0	1114	AF479774	2264	2518	2787	3127	3568	4168	4898	5709	6626	7774	12062
AF511037	1	3176	32.87153652	rep_cluster_1197	AF511037	-	-	-	-	-	-	Non-mobilizable	AF511037	0	3183	AF511037	2239	2428	2589	2771	2967	3139	3329	3572	3877	4265	5513
AJ224743	1	1921	40.60385216	-	-	-	-	-	-	-	-	Non-mobilizable	AJ224743	0	7487	AJ224743	24	24	24	24	24	25	27	28	28	30	33
AJ271879	1	10687	57.03190793	IncQ1	000191__AB109805_00009	MOBQ	NC_005312_00007	-	-	MOBQ	KP398867	Mobilizable	AJ271879	0	188	AJ271879	2264	2518	2787	3127	3568	4168	4898	5657	6506	7536	11573
AJ297913	1	45319	58.9024471	rep_cluster_236	001511__KJ850907_00001	MOBP	NC_010332_00013	MPF_T	NC_010332_00022,NC_010332_00023,NC_010332_00025,NC_010332_00028	-	-	Conjugative	AJ297913	0	193	AJ297913	2018	2157	2274	2403	2555	2693	2849	3061	3314	3649	4693
AJ304453	1	55578	59.84742164	-	-	MOBP	AJ304453_00017	MPF_T	NC_010332_00028	-	-	Conjugative	AJ304453	0	195	AJ304453	2264	2587	2958	3427	4002	4700	5524	6437	7670	9444	15776
AJ311718	1	4379	49.73738296	-	-	-	-	-	-	-	-	Non-mobilizable	AJ311718	0	8035	AJ311718	2285	2641	3012	3481	4056	4754	5578	6491	7724	9498	15830
AJ431260	1	79370	62.75544916	IncP	000180__NC_006830_00001	MOBP	NC_007353_00011	MPF_T	NC_007353_00043,NC_006830_00008,NC_006830_00009,NC_019318_00040	MOBP	NC_017965	Conjugative	AJ431260	0	127	AJ431260	2264	2518	2787	3122	3414	3692	3988	4318	4719	5246	7054
AJ493278	1	9935	32.93407146	rep_cluster_589	001996__NC_004528_00009	MOBV	NC_004528_00008	-	-	-	-	Mobilizable	AJ493278	0	4439	AJ493278	2264	2595	2966	3435	4010	4708	5532	6445	7678	9452	15784
AJ576039	1	101016	66.00439534	-	-	MOBF	NC_005307_00072	-	-	-	-	Mobilizable	AJ576039	0	3956	AJ576039	971	1016	1043	1093	1137	1181	1233	1290	1330	1397	1710
AJ579365	1	17108	33.99579144	rep_cluster_282	FN377602	MOBV,MOBV	NC_005076_00012,AJ579365_00019	-	-	MOBV	NZ_CP009579	Mobilizable	AJ579365	0	608	AJ579365	2264	2518	2787	3127	3568	4063	4556	5103	5711	6448	9242
AJ639924	1	56167	63.80258871	IncP	000177__AB237782_00014	MOBP	NC_001735_00050	MPF_T	NC_019318_00059,NC_004956_00085,NC_008459_00022,NC_001735_00049	MOBP	NC_022371	Conjugative	AJ639924	0	133	AJ639924	2264	2518	2787	3122	3414	3692	3986	4314	4712	5239	7047
AJ744860	1	68869	62.34009496	IncP	000182__CP002151_00001	MOBP	NC_008357_00089	MPF_T	NC_019318_00059,NC_008357_00035,NC_008357_00088	MOB_unknown	NZ_HG941719	Conjugative	AJ744860	0	145	AJ744860	2264	2518	2787	3029	3279	3511	3761	4053	4408	4856	6456
AJ748844	1	3649	34.99588928	-	-	-	-	-	-	-	-	Non-mobilizable	AJ748844	0	7809	AJ748844	17	17	17	17	17	17	17	17	17	19	20
AJ863570	1	57198	64.61939229	IncP	000177__AB237782_00014	MOBP	NC_001735_00050	MPF_T	NC_019318_00059,NC_004956_00085,NC_008459_00022,NC_001735_00049	MOBP	KU302802	Conjugative	AJ863570	0	131	AJ863570	2264	2518	2787	3122	3414	3692	3986	4314	4711	5230	7029
AJ871637	1	9698	32.39843267	-	-	MOBV	NC_006869_00001	-	-	-	-	Mobilizable	AJ871637	0	626	AJ871637	2410	2766	3137	3606	4181	4879	5703	6616	7849	9623	15955
AJ871638	1	14218	29.47671965	rep_cluster_1836	001262__CP009690	MOBV	NC_006870_00006	-	-	-	-	Mobilizable	AJ871638	0	2109	AJ871638	2174	2339	2474	2629	2809	2973	3154	3390	3672	4028	5158
AM039948	1	1852	56.587473	-	-	-	-	-	-	-	-	Non-mobilizable	AM039948	0	2147	AM039948	129	130	131	133	134	140	147	152	154	160	197
AM039949	1	19146	59.76183015	-	-	MOBQ	NC_007505_00009	-	-	-	-	Mobilizable	AM039949	0	3167	AM039949	2264	2497	2681	2878	3094	3286	3496	3756	4082	4504	5922
AM039950	1	38116	60.7330255	-	-	MOBF	NC_017558_00016	MPF_T	NC_007506_00022,NC_005240_00012,NC_017558_00032,NC_005240_00010,NC_005240_00006	-	-	Conjugative	AM039950	0	5637	AM039950	2264	2497	2681	2878	3092	3283	3493	3752	4073	4491	5908
AM039951	1	182572	60.49284666	rep_cluster_461	001811__CP013007_00019	MOBP	NC_007507_00032	MPF_I	NC_007507_00008,NC_007507_00042,NC_007507_00056,NC_007507_00198,NC_007507_00199	-	-	Conjugative	AM039951	0	7319	AM039951	2264	2462	2630	2817	3019	3197	3392	3639	3946	4348	5662
AM157767	1	69966	57.5007861	rep_cluster_717	002189__AM157767_00028	MOBP	AM157767_00077	MPF_T	NC_019318_00059,NC_019378_00044	-	-	Conjugative	AM157767	0	168	AM157767	2213	2389	2536	2704	2895	3062	3251	3491	3788	4173	5404
AM180253	1	27048	29.04835847	rep_cluster_1701	001111__NC_020128_00032	-	-	-	-	-	-	Non-mobilizable	AM180253	0	3329	AM180253	584	608	616	639	659	682	714	743	763	806	1037
AM236081	1	151564	57.62186271	rep_cluster_512,rep_cluster_446,rep_cluster_592	001886__CP016288,001790__NC_007762_00218,002017__CP007238_00110	MOBQ	NC_008382_00075	MPF_T	NC_008382_00063,NC_008382_00140,NC_008382_00142,NC_008382_00143,NC_008382_00144	-	-	Conjugative	AM236081	0	5336	AM236081	1905	2032	2136	2253	2391	2514	2657	2849	3080	3371	4329
AM236082	1	147463	58.7449055	rep_cluster_577	001976__HG916853_00001	MOBQ	NC_008383_00124	MPF_T	NC_008383_00121,NC_010865_00164,NC_008383_00141	-	-	Conjugative	AM236082	0	7578	AM236082	1907	2034	2139	2257	2395	2518	2661	2853	3084	3375	4333
AM236083	1	352782	60.99092357	rep_cluster_685	002150__AM236083_00122	-	-	-	-	-	-	Non-mobilizable	AM236083	0	2847	AM236083	1700	1809	1897	2001	2124	2232	2356	2522	2725	2985	3885
AM260523	1	3661	34.55340071	rep_cluster_137	000692__CP012906	-	-	-	-	-	-	Non-mobilizable	AM260523	0	2266	AM260523	696	731	743	776	811	846	892	938	971	1030	1304
AM260524	1	23343	35.02548944	rep_cluster_1829	001250__HG969193_00001	-	-	-	-	-	-	Non-mobilizable	AM260524	0	3743	AM260524	542	560	567	587	604	622	647	667	681	715	924
AM261282	1	54383	60.83886509	IncP	000175__JQ004408_00022	MOBP	NC_019318_00039	MPF_T	NC_019318_00059,NC_019318_00058,NC_019318_00057,NC_019318_00040	MOBP	NC_017965	Conjugative	AM261282	0	166	AM261282	2264	2518	2787	3127	3484	3790	4108	4471	4898	5447	7391
AM711865	1	27357	67.55857733	rep_cluster_204	001466__CP011044	MOBC	CP012574_00009	-	-	-	-	Mobilizable	AM711865	0	7642	AM711865	210	212	214	221	227	234	242	250	255	263	318
AM711866	1	69989	66.49616368	-	-	MOBF,MOBF	AM711866_00011,NC_009479_00012	MPF_T	NC_009479_00014	-	-	Conjugative	AM711866	0	7647	AM711866	209	211	213	220	225	232	240	248	253	261	314
AM747723	1	92661	62.76211135	rep_cluster_1467	000805__NC_008545_00092	MOBF	NC_011003_00065	MPF_F	NC_011003_00023,NC_011003_00024,NC_011003_00035,NC_011003_00036,NC_011003_00037,NC_011003_00047,NC_011003_00048,NC_011003_00052,NC_011003_00067	-	-	Conjugative	AM747723	0	5425	AM747723	1789	1905	1995	2104	2231	2345	2479	2653	2870	3150	4081
AM849035	1	50350	67.46176763	rep_cluster_204	001467__CP012574	MOBC	CP012574_00009	-	-	-	-	Mobilizable	AM849035	0	7644	AM849035	211	213	215	222	229	236	244	252	257	265	320
AM849036	1	94791	68.84408857	-	-	-	-	-	-	-	-	Non-mobilizable	AM849036	0	8147	AM849036	213	215	217	224	231	238	246	254	259	267	322
AM886060	1	62830	40.01750756	rep_cluster_349	001664__CP006255_00026	MOBQ	CP000558_00038	MPF_T	NC_010420_00058	-	-	Conjugative	AM886060	0	5388	AM886060	1181	1262	1321	1403	1501	1580	1666	1803	1974	2180	2909
AM942760	1	36289	36.20656397	IncX8	000229__AM942760_00001	MOBP	NC_010555_00037	MPF_T	NC_010555_00009,NC_010555_00012,NC_010555_00014,NC_010555_00015	-	-	Conjugative	AM942760	0	5964	AM942760	2264	2518	2787	3090	3369	3636	3921	4241	4624	5118	6848
AM990993	1	5246	30.72817385	rep_cluster_1118	000379__NC_013452_00003	MOBV	NC_010262_00002	-	-	-	-	Mobilizable	AM990993	0	2219	AM990993	2264	2518	2787	3127	3568	4063	4539	5046	5616	6304	8851
AM990994	1	4381	31.63661265	rep_cluster_1118	AM990994	MOBP	NC_012000_00003	-	-	-	-	Mobilizable	AM990994	0	590	AM990994	2264	2518	2787	3076	3353	3618	3899	4217	4595	5078	6785
AM990995	1	3158	29.00569981	rep_cluster_1017	000264__NC_017336_00001	-	-	-	-	-	-	Non-mobilizable	AM990995	0	556	AM990995	2264	2518	2787	3127	3553	3970	4400	4871	5399	6003	8146
AP002086	1	217594	57.31637821	-	-	MOBQ,MOBQ	NC_016814_00131,NC_002575_00134	MPF_T	NC_002575_00131,NC_009621_00340,NC_019555_00155,NC_010841_00159,NC_011982_00179,NC_010841_00162,NC_011982_00176,NC_002575_00190,NC_011982_00166	-	-	Conjugative	AP002086	0	136	AP002086	1745	1859	1948	2056	2180	2288	2416	2583	2791	3056	3974
AP003017	1	208315	59.87566906	IncP	000187__AP003017_00244	MOBP	NC_002682_00249	MPF_T	NC_002682_00109,NC_002682_00114,NC_002682_00250	-	-	Conjugative	AP003017	0	7829	AP003017	3481	3838	4211	4683	5259	5958	6784	7697	8932	10709	17049
AP004310	1	119895	42.95008132	-	-	-	-	-	-	-	-	Non-mobilizable	AP004310	0	3286	AP004310	591	615	623	646	666	689	721	750	770	813	1046
AP004311	1	103307	44.47907693	-	-	-	-	-	-	-	-	Non-mobilizable	AP004311	0	3294	AP004311	588	612	620	643	663	686	718	747	767	810	1041
AP005352	1	48508	44.92661004	-	-	MOBF	NC_009702_00055	MPF_F	NC_005128_00006,NC_005128_00009,NC_009702_00037,NZ_CM001801_00015,NC_005128_00012,NZ_CM001801_00017,NC_005128_00015,NC_005128_00016,NZ_CM001801_00023,NZ_CM001801_00024,NZ_CM001801_00030	-	-	Conjugative	AP005352	0	7630	AP005352	1694	1802	1889	1992	2115	2219	2341	2503	2704	2964	3863
AP006520	1	47890	44.15117979	rep_cluster_349	001664__CP006255_00026	-	-	-	-	-	-	Non-mobilizable	AP006520	0	2721	AP006520	1181	1262	1321	1404	1503	1585	1676	1814	1985	2192	2921
AP006726	1	224152	50.16818944	IncFIB,IncHI1B	000107__CP014778_00094,JN420336	-	-	-	-	-	-	Non-mobilizable	AP006726	0	4071	AP006726	2264	2518	2787	3127	3568	4168	4898	5675	6546	7617	11720
AP008931	1	271577	61.90546328	-	-	MOBP	NC_007491_00273	-	-	-	-	Mobilizable	AP008931	0	7135	AP008931	931	974	995	1042	1085	1127	1176	1231	1270	1337	1649
AP008932	1	104014	63.02132405	-	-	MOBF	NC_007486_00018	-	-	-	-	Mobilizable	AP008932	0	6712	AP008932	924	967	987	1033	1075	1115	1164	1219	1258	1324	1636
AP008933	1	3637	62.22161122	rep_cluster_1626	001016__AP008933_00001	-	-	-	-	-	-	Non-mobilizable	AP008933	0	5400	AP008933	844	887	904	949	986	1024	1073	1124	1160	1222	1518
AP009379	1	122345	51.04009154	IncFIC,IncFIA,rep_cluster_2131,IncFIB	CP003035,000136__AP014877_00014,CP030770_00142,000096__NC_019117_00097	MOBF	NC_017627_00068	MPF_F	NC_022651_00077,NC_010409_00124,NC_019094_00090,NC_017630_00031,NC_013437_00116,NC_007675_00027,NC_017639_00100,NC_018966_00040,NC_019094_00068,NC_010719_00097,NC_008460_00107,NC_019072_00073	MOBF	NC_010600	Conjugative	AP009379	0	109	AP009379	2264	2518	2787	3127	3568	4168	4898	5723	6834	8496	14486
